AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
15845;Mastiff X;2008-01-10;M/N;08-161509;2008-01-04;20044;Othello;200;;Black;;75;;HOLDING STRAY;Sold;3;Bob Cristofoli
15848;Rotty X;;M;25724 rf4;2008-01-05;20080;Xiohey;200;;Black with Tan;;35 lbs.;;HOLDING STRAY;Redeemed;14;Ching Koo
15849;Shep X Collie;;M/N;n/c rf4;2008-01-06;40066;Nimpo;400;;Redish with Black;;68 lbs;;COMPLAINT;Ride Home Free;;Mariana Ardeleanu
15852;Border Collie X;;M/N;25346 - skj;2008-01-07;20021;Jack;200;;Blonde & White;;45 lbs;;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
15857;German Shepherd;;M/N;24562 Jn12;2008-01-08;20041;Amulet;200;;Black & Tan;;97lbs;;COMPLAINT;Redeemed;;Jez Figol
15864;Wolfhound X Lab;2007-12-05;F/S;rf4;2008-01-09;20087;Wolfina (now Molly);200;;Black & Grey;;50;;OTHER;Sold;;Katie Ernst
15866;Husky X Shepherd;;M;24567 Amy;2008-01-11;20048;Dargo;200;;Cream & Brown;;50 lbs;;BROUGHT-IN;Redeemed;;Susy Jakoncic
15868;Poodle X;2008-12-11;F/S;08-159277DI - TU;2008-01-11;20041;Parker;200;;Black & White Chest;;30 lbs;;BROUGHT-IN;Redeemed;;Susy Jakoncic
15869;Labrador Retriever;;M/N;;2008-01-12;40000;Buddy;400;;Yellow;;100 lbs.;;HOLDING STRAY;Ride Home Free;14;Ching Koo
15871;Shep X Collie;2024-01-08;F/S;;2008-01-12;20048;Kassie;200;;Black & Tan;;59 lbs;;COMPLAINT;Sold;12;Jeanette Nelson
15872;Retriever;;M;08-159317;2008-01-13;20021;Brian;200;;Gold;;;;HOLDING STRAY;Redeemed;23;Rachel Blyth
15877;Chow;2008-11-06;M/N;;2008-01-14;40001;Jo Jo;400;;Tan;;;;HOLDING STRAY;Ride Home Free;5;Bill Stevenson
15880;Border Terrier;;F;JN #12;2008-01-17;40066;Ceilidh;400;;Brown;;23 lbs.;;HOLDING STRAY;Ride Home Free;12;Jeanette Nelson
15881;Rottweiler;2008-12-10;M;;2008-01-19;40000;Tiger;400;;Black & Red;;80 lbs.;;HOLDING STRAY;Ride Home Free;14;Ching Koo
15885;Retriever;2008-10-22;M/N;;2008-01-22;40000;;400;;Gold;;;;HOLDING STRAY;Ride Home Free;5;Bill Stevenson
15888;Wheaton Terrier;2008-12-10;M;N/C;2008-01-23;40067;Jack;400;;Cream;;40lbs;;HOLDING STRAY;Ride Home Free;21;Guy Palanuik
15892;Jack Russell X;2008-12-31;M/N;;2008-01-26;40000;Jack;400;;Tri Colour;;30 lbs.;;HOLDING STRAY;Ride Home Free;14;Ching Koo
